"CBSA Code","CBSA Name","CBSA Type"
"33540","Missoula, MT","Metropolitan"
"33580","Mitchell, SD","Micropolitan"
"33620","Moberly, MO","Micropolitan"
"33660","Mobile, AL","Metropolitan"
"33700","Modesto, CA","Metropolitan"
"33740","Monroe, LA","Metropolitan"
"33780","Monroe, MI","Metropolitan"
"33860","Montgomery, AL","Metropolitan"
"33940","Montrose, CO","Micropolitan"
"33980","Morehead City, NC","Micropolitan"
"34020","Morgan City, LA","Micropolitan"
"34060","Morgantown, WV","Metropolitan"
"34100","Morristown, TN","Metropolitan"
"34140","Moscow, ID","Micropolitan"
"34180","Moses Lake, WA","Micropolitan"
"34220","Moultrie, GA","Micropolitan"
"34340","Mount Airy, NC","Micropolitan"
"34380","Mount Pleasant, MI","Micropolitan"
"34420","Mount Pleasant, TX","Micropolitan"
"34460","Mount Sterling, KY","Micropolitan"
"34500","Mount Vernon, IL","Micropolitan"
"34540","Mount Vernon, OH","Micropolitan"
"34580","Mount Vernon-Anacortes, WA","Metropolitan"
"34260","Mountain Home, AR","Micropolitan"
"34300","Mountain Home, ID","Micropolitan"
"34620","Muncie, IN","Metropolitan"
"34660","Murray, KY","Micropolitan"
"34700","Muscatine, IA","Micropolitan"
"34740","Muskegon, MI","Metropolitan"
"34780","Muskogee, OK","Micropolitan"
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Metropolitan"
"34860","Nacogdoches, TX","Micropolitan"
"34900","Napa, CA","Metropolitan"
"34940","Naples-Immokalee-Marco Island, FL","Metropolitan"
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN","Metropolitan"
"35020","Natchez, MS-LA","Micropolitan"
"35060","Natchitoches, LA","Micropolitan"
"35100","New Bern, NC","Metropolitan"
"35220","New Castle, IN","Micropolitan"
"35260","New Castle, PA","Micropolitan"
"35300","New Haven-Milford, CT","Metropolitan"
"35380","New Orleans-Metairie, LA","Metropolitan"
"35420","New Philadelphia-Dover, OH","Micropolitan"
"35580","New Ulm, MN","Micropolitan"
"35620","New York-Newark-Jersey City, NY-NJ-PA","Metropolitan"
"35140","Newberry, SC","Micropolitan"
"35440","Newport, OR","Micropolitan"
"35460","Newport, TN","Micropolitan"
"35500","Newton, IA","Micropolitan"
"35660","Niles-Benton Harbor, MI","Metropolitan"
"35700","Nogales, AZ","Micropolitan"
"35740","Norfolk, NE","Micropolitan"
"35820","North Platte, NE","Micropolitan"
"35840","North Port-Sarasota-Bradenton, FL","Metropolitan"
"35860","North Vernon, IN","Micropolitan"
"35900","North Wilkesboro, NC","Micropolitan"
"35940","Norwalk, OH","Micropolitan"
"35980","Norwich-New London, CT","Metropolitan"
"36020","Oak Harbor, WA","Micropolitan"
"36100","Ocala, FL","Metropolitan"
"36140","Ocean City, NJ","Metropolitan"
"36220","Odessa, TX","Metropolitan"
"36260","Ogden-Clearfield, UT","Metropolitan"
